Country Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],,,,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,-1.430372834,-1.445908427,-1.364742875,-1.354239821,-1.540352702,-1.531909704,-1.502880573,-1.419499159,-1.493699789,-1.152327418,-1.183776498,,,Afghanistan,-1.291704774,-1.176012278,-1.271724224,-1.251137018,-1.344179749,-1.35064733,-1.447252393,-1.446292281,-1.61325109,-1.672095537,-1.552298784,-1.645391107,-1.600470781,-1.430372834,-1.445908427,-1.364742875,-1.430372834,-1.445908427,-1.364742875,-1.354239821,-1.540352702,-1.531909704,-1.502880573,-1.419499159,-1.493699789,-1.152327418,-1.183776498
Albania,-0.778729439,-0.750955939,-0.586141348,-0.544385254,-0.471469223,-0.480890602,-0.545840263,-0.563899636,-0.572924495,-0.576535523,-0.407875538,,,Ukraine,-1.110136986,-1.258209944,-1.110609293,-1.091393948,-0.966655314,-0.979341567,-0.740642905,-0.772781849,-0.820174932,-0.862514138,-1.071736813,-1.031962514,-1.086713314,-1.117539167,-1.176261783,-1.024342418,-1.117539167,-1.176261783,-1.024342418,-1.038948059,-0.866792738,-0.831375659,-0.921201885,-0.800242603,-0.831856072,-0.786468089,-0.633566201
Algeria,-0.521544516,-0.472622782,-0.612656415,-0.639073312,-0.673416734,-0.598509312,-0.658660114,-0.655895114,-0.666460216,-0.635657609,-0.637929857,,,Nigeria,-1.189008594,-1.160612702,-1.324634433,-1.502067566,-1.417653799,-1.383372903,-1.180775523,-1.126394391,-1.066939831,-0.900948942,-1.041885853,-1.051508546,-1.189361453,-1.175933242,-1.226869226,-1.28350389,-1.175933242,-1.226869226,-1.28350389,-1.095677853,-1.045135379,-1.099802971,-1.083567619,-1.115130424,-1.120857596,-1.103256702,-1.101030469
American Samoa,0.299411148,0.303055048,1.220708609,1.151810765,1.159555912,1.762151003,1.780909538,1.780709863,1.266005278,1.279871821,1.27020359,,,Somalia,-1.273832083,-1.169289827,-1.231535554,-1.032930613,-1.465910077,-1.80303514,-1.683112144,-1.72492063,-1.739551187,-1.848734379,-1.701694131,-1.726097345,-1.715412021,-1.596589088,-1.58308363,-1.66308713,-1.596589088,-1.58308363,-1.66308713,-1.64175272,-1.690856099,-1.70943439,-1.785416245,-1.723784328,-1.688518405,-1.795112491,-1.7924546
Andorra,1.260530829,1.253548503,1.220708609,1.151810765,1.159555912,1.171758413,1.179165602,1.176592231,1.266005278,1.279871821,1.27020359,,,Ethiopia,-0.930545986,-0.903203785,-0.906757355,-0.717909098,-0.777412176,-0.757493496,-0.772508383,-0.650104702,-0.632185876,-0.666399777,-0.704722345,-0.694108725,-0.667876601,-0.608586848,-0.501512408,-0.447899312,-0.608586848,-0.501512408,-0.447899312,-0.476131946,-0.442177504,-0.582520843,-0.50496614,-0.435477555,-0.390404463,-0.422970861,-0.440878779
Angola,-1.302401423,-1.336874723,-1.457798243,-1.427323461,-1.483337283,-1.444333076,-1.199250937,-1.058417916,-0.938672543,-0.651610196,-0.601941288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,1.260530829,1.253548503,1.220708609,1.151810765,1.159555912,1.171758413,1.179165602,1.176592231,0.632469475,0.638071477,1.27020359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1.260530829,1.253548503,0.634897768,0.642890871,0.645558715,0.197805092,0.236239702,0.239498109,0.238533273,0.231979251,0.310604453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,-0.445909202,-0.434015781,-0.549443066,-0.580868721,-0.298964888,-0.308798343,-0.098668173,-0.106940247,-0.163780659,-0.422272921,-0.447030485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,-0.58800149,-0.530450225,-0.565155387,-0.609267175,-0.659123719,-0.63648814,-0.40889135,-0.226975173,-0.0034387,0.048978329,0.028035237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,1.095235944,1.1194067,1.014231563,1.248461127,1.232735157,1.239376664,1.207429409,1.174702883,1.199391723,0.801610887,0.756784737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1.977507234,1.777870297,1.849464655,1.841353893,1.772003651,1.752321124,1.767377615,1.788173079,1.632955909,1.707646132,1.764489532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,1.427254438,1.537240982,1.466749072,1.472380042,1.496968031,1.50046289,1.568366051,1.521409035,1.477789164,1.24299264,1.258619428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,-1.142694116,-0.970375061,-1.022490263,-0.952501655,-0.852654457,-0.90602529,-0.852769494,-0.849424362,-1.077084064,-0.847372115,-1.040572286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",1.316067934,1.334611177,1.308737755,1.097775936,1.067387938,1.134469748,1.095535636,1.102446318,1.10620594,1.152453542,1.256189942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0.36653021,0.42616269,0.273521841,0.107048586,-0.047664754,-0.171140954,-0.176231503,-0.038097262,-0.09359394,0.144544184,0.139385641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,-0.85661906,-0.893825352,-0.892129958,-0.84402591,-0.886878014,-0.858938634,-0.926946819,-1.016993523,-1.003677249,-0.985860944,-1.07552731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,1.648287773,1.61204195,1.133456349,1.447863221,1.213551164,1.375456929,1.371912479,1.15944016,1.194066882,1.213400602,1.284573436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,-0.458519369,-0.40493837,-0.234706506,-0.315779865,-0.224086627,-0.240941063,-0.154802009,0.007285738,-0.133964226,-0.258149892,-0.579676211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1.559110403,1.604302645,1.512950301,1.474696517,1.531488061,1.403884411,1.429420352,1.448995948,1.445956349,1.455525041,1.495048642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,-0.030974895,0.020445321,-0.159106821,-0.209245667,-0.229891732,-0.305803925,-0.169436514,-0.191070929,-0.193349361,-0.330022901,-0.237028584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,-0.857918382,-0.745442808,-0.669143796,-0.563475013,-0.529120028,-0.577509105,-0.391388416,-0.330108225,-0.040327787,-0.170943543,-0.124255605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,1.260530829,1.253548503,1.220708609,1.151810765,1.159555912,1.171758413,1.179165602,1.176592231,1.266005278,1.279871821,1.27020359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0.953947246,0.912419856,1.306128979,0.989677846,1.091020465,1.529062629,1.590518117,1.57226634,1.618236542,1.507121086,1.514259338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,-0.727891862,-0.587771356,-0.628422022,-0.717430353,-0.774184048,-0.700783432,-0.68817246,-0.780918837,-0.844050765,-0.883186758,-0.889222622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,-0.309364051,-0.244402736,-0.299684912,-0.417167664,-0.485800505,-0.553566337,-0.605827153,-0.646842897,-0.642686784,-0.665344417,-0.683835208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0.90651536,0.893463314,0.813040078,0.78125155,0.867156804,0.712225378,0.719505966,0.686288655,0.611279488,0.665826142,0.661455095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-0.046854232,-0.097699746,-0.365745902,-0.457372844,-0.445450932,-0.559335768,-0.480606288,-0.40767929,-0.428935021,-0.498797685,-0.566063046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,0.538632572,0.639075041,0.526151538,0.534770489,0.530952454,0.675776422,0.761487544,0.768578291,1.248225451,1.216357827,1.174819589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,-0.281460792,-0.327604949,-0.302766591,-0.345705241,-0.259969264,-0.195962429,-0.188040331,-0.180789098,-0.322116584,-0.257637173,-0.157897115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,-0.482446641,-0.525301456,-0.466464132,-0.298838139,-0.169851243,-0.138816744,-0.131240994,-0.220120952,-0.122583754,-0.083034024,-0.08361081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,-1.468606353,-1.426113844,-1.267834663,-1.28679204,-1.278321862,-1.31923759,-1.478066683,-1.496806622,-1.562949181,-1.599391341,-1.518141747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,0.885680318,0.851895511,0.97090441,0.929523051,0.844319046,0.798005223,0.75564152,0.851036787,0.845997393,1.016948581,0.983122945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,-1.080681562,-1.063721895,-1.146749973,-1.153123736,-1.301330924,-1.317361832,-1.356795192,-1.323165655,-1.271122456,-1.197489381,-1.24149859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,-1.27243948,-1.21758461,-1.178454518,-1.0961833,-1.178884864,-1.225612164,-1.162674546,-1.218713284,-1.140349984,-1.117182374,-1.127934813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.918904424,1.879342556,1.832427263,1.845864892,1.944438457,1.880703807,1.789857745,1.729976535,1.565556288,1.616529822,1.658579826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,1.346243501,1.351891994,1.014231563,0.973423421,0.482424229,0.48127076,0.45631215,0.428329825,0.43935883,0.468788922,0.457741022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,-1.005531907,-1.096233726,-1.166350484,-1.326884508,-1.305346489,-1.200072527,-1.233191371,-1.233961463,-1.294777036,-1.24628365,-1.24606657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,-1.330996513,-1.370108247,-1.329005241,-1.381444931,-1.511605382,-1.458002687,-1.404120088,-1.417058945,-1.424788117,-1.495754361,-1.488084197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,1.543591261,1.498959064,1.441059232,1.183169365,1.023324966,1.00147748,0.958148718,0.979157269,1.106734037,0.956733346,0.968280137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,-0.438275933,-0.355789781,-0.337421417,-0.299674153,-0.267868012,-0.291190565,-0.286587775,-0.31240508,-0.070956685,0.030393474,0.015970249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,-0.422298342,-0.441052586,-0.397179246,-0.352239668,-0.384032637,-0.429445237,-0.339970648,-0.2831572,-0.251915634,-0.365435123,-0.361808151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,-0.781551659,-0.731784344,-0.586587667,-0.77018398,-0.706209838,-0.71099925,-0.851346493,-1.057865262,-1.20799458,-1.30969882,-1.244413257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",-1.329710841,-1.338081479,-1.320770741,-1.310912609,-1.366570234,-1.446218252,-1.517548561,-1.555178404,-1.592267394,-1.569068789,-1.544474006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",-1.229751229,-1.176573396,-1.199824452,-1.270935655,-1.227088094,-1.36760819,-1.37775588,-1.435928583,-1.460418224,-1.39148438,-1.359451652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,-0.225727722,-0.225353897,..,..,..,..,..,..,..,..,0.048777163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0.570753694,0.577552676,0.725670099,0.687304258,0.678494036,0.432417333,0.501532555,0.627239466,0.661663234,0.470483005,0.46584937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,-0.838509381,-0.739937127,-0.418946445,-0.462348998,-0.555268586,-0.550527215,-0.525697172,-0.564522326,-0.552296638,-0.395680398,-0.348596215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,-0.025457293,0.107682623,0.201164097,0.200334981,0.156147197,0.059864528,0.046951234,0.052742682,0.177089244,0.037961569,0.148001134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,0.228043005,0.113353908,0.062915348,0.038489599,0.135692075,0.232634813,0.134128854,0.014697105,-0.154578611,-0.033255912,-0.069347166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,1.243302345,1.238514423,1.071142793,0.972112,0.789838016,0.746573091,0.607826233,0.599219382,0.349622399,0.369634807,0.421609163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,0.310179651,0.299337626,0.430063665,0.468281865,0.556319892,0.568476737,0.510070622,0.533790946,0.555802822,0.615592837,0.663116157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2.382462263,2.399264097,2.252340317,2.186062336,2.202885151,2.190132141,2.15647912,2.121617317,2.236468792,2.333752632,2.402744293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,-0.470184714,-0.549865782,-0.596591592,-0.697723746,-0.689300656,-0.671873569,-0.742592454,-0.880212486,-0.752702355,-0.804719806,-0.793283403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,0.69570899,0.692934036,0.69083339,0.606966794,0.624489009,0.637029588,0.536078513,0.521641076,0.557267368,0.547496855,0.539313197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,-0.897264659,-0.911615849,-0.841781139,-0.873490095,-0.810025573,-0.787117958,-0.830727458,-0.838781178,-0.751166821,-0.590034485,-0.439608067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,-0.508597851,-0.502528191,-0.740625322,-0.672159255,-0.680526972,-0.625844002,-0.629149854,-0.509074688,-0.503777742,-0.594089091,-0.62992847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",-0.57966435,-0.613801897,-0.575114548,-0.600650787,-0.59074223,-0.495695531,-0.514392555,-0.65516609,-0.810555279,-0.705531955,-0.678810477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,-0.412512779,-0.349038988,-0.374780744,-0.447236538,-0.555807173,-0.533897817,-0.586034775,-0.537628949,-0.577217638,-0.553035498,-0.642081201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,-1.239950657,-1.315580368,-1.540296793,-1.572066545,-1.602825999,-1.645405293,-1.542761445,-1.563375354,-1.539008975,-1.586888433,-1.601716042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,-0.778626442,-0.909359694,-0.885469437,-1.339255452,-1.343778849,-1.232174397,-1.321923494,-1.4070611,-1.339879751,-1.257141948,-1.282102227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1.088298321,1.181539178,1.299008369,1.255545974,1.231135607,1.202570915,1.468725204,1.52543819,1.580865502,1.506842971,1.54468286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,-0.224429905,-0.228339255,-0.256666481,-0.215674281,-0.232138395,-0.073113583,-0.231745571,-0.328445315,-0.296206951,-0.702006817,-0.668882489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,-0.608586848,-0.501512408,-0.447899312,-0.476131946,-0.442177504,-0.582520843,-0.50496614,-0.435477555,-0.390404463,-0.422970861,-0.440878779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0.181172475,0.195707113,0.38520658,0.377842069,0.33544296,0.638752341,0.699863374,0.688096285,0.613188386,0.443210334,0.388570487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2.226846695,2.200171232,2.159475803,2.215771437,2.186052084,2.161560535,2.171321154,2.114005089,2.170630693,2.238217115,2.246977806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,1.471969485,1.304377317,1.288246036,1.248263836,1.328667521,1.22440362,1.281640649,1.24832809,1.122349262,1.282284975,1.259529948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,1.095235944,1.1194067,1.014231563,0.973423421,0.925807595,0.947585762,0.910473168,0.879329503,0.89474839,0.900672317,0.936512172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,-0.666252255,-0.634198666,-0.67763567,-0.723359048,-0.758523464,-0.841499567,-0.858977616,-0.888111413,-0.887642741,-0.869527161,-1.048099399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",-0.65323174,-0.706011951,-0.69398278,-0.813672841,-0.850145161,-0.65736568,-0.501664221,-0.408288747,-0.425882965,-0.382034093,-0.278427482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,0.397421122,0.463925153,0.828557551,0.70071578,0.712996662,0.758942425,0.724707186,0.716376483,0.600856006,0.661190093,0.620237648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1.817630172,1.797943592,1.812496543,1.776123524,1.78145051,1.796617866,1.898325324,1.86536622,1.825713873,1.783171773,1.818375826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,-0.126568556,-0.096591435,-0.194918543,-0.210319385,-0.175110564,-0.253569841,-0.138242349,-0.108893923,-0.127230331,-0.128527135,-0.0459955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,-0.19037801,-0.075100534,-0.135704443,-0.118774399,-0.133906335,-0.111620285,-0.055737924,0.014072024,0.032075394,0.183452636,0.037796605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,1.213781714,1.235403299,1.203346848,1.158900499,1.132253647,1.148748279,1.144097686,1.112229705,1.010008812,1.001844883,1.028838038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,0.446904987,0.450267434,0.313031375,0.539796233,0.560902476,0.46080175,0.369962037,0.337976843,0.357017994,0.494174868,0.483669132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,0.779971004,0.778301716,1.220708609,1.151810765,1.159555912,1.171758413,1.179165602,1.176592231,1.266005278,1.279871821,1.27020359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,-0.678762555,-0.639010668,-0.756130755,-0.780903101,-0.790915012,-0.787171602,-0.821694732,-0.915391564,-1.134002686,-1.192137122,-1.209751368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,-1.055663228,-1.049763322,-1.06706202,-1.014260173,-0.946540415,-1.038001418,-1.059754133,-0.915901423,-0.974657476,-1.022385359,-1.005414963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,-1.293287516,-1.341573954,-1.556711912,-1.509641528,-1.586325645,-1.597468257,-1.55884099,-1.497948885,-1.363135219,-1.319930077,-1.18539381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,-0.761781573,-0.651674628,-0.740717888,-0.657496333,-0.347629547,-0.531385481,-0.249941126,-0.14282234,-0.173361897,-0.187444076,-0.295775652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,-1.240631819,-1.135210872,-1.239228249,-1.258397222,-1.354178548,-1.259292126,-1.285504103,-1.346805215,-1.346412778,-1.441358924,-1.459037662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,-0.955132008,-0.94487375,-0.787135541,-0.5892542,-0.6790663,-0.739263594,-0.656966507,-0.875686288,-0.988052368,-1.091018438,-1.002071381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",1.732589602,1.636237025,1.615458131,1.610676527,1.516932845,1.571896553,1.637417674,1.652782321,1.616944671,1.679690242,1.610646129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0.298703164,0.294103175,0.156834021,0.119144142,0.072723642,0.090999648,0.05579298,0.031154292,0.069760337,0.012517746,-0.103074186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,1.878031492,1.904773474,1.82383287,1.898147464,1.903914332,1.794471025,1.805385828,1.670874357,1.667649269,1.760617852,1.567528129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,-0.51396811,-0.517085731,-0.457155108,-0.406170607,-0.336941868,-0.291451544,-0.229412422,-0.302205294,-0.29291603,-0.316493511,-0.321810871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,-0.689105809,-0.660039663,-0.597599149,-0.518548131,-0.462464273,-0.304816425,-0.299459815,-0.473180324,-0.454076618,-0.449074686,-0.434910655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",-0.79734683,-0.693658531,-0.625268459,-0.63390404,-0.739656687,-0.838275671,-0.984159291,-1.071325779,-1.110736609,-1.11569345,-1.126372814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,-1.248227,-1.315329313,-1.363342285,-1.432856798,-1.461683035,-1.431025505,-1.458062291,-1.389802694,-1.334123492,-1.268725276,-1.212934136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,1.455700159,1.646097541,1.692481041,1.673846483,1.649328828,1.529177547,1.534681678,1.458833456,1.535135031,1.61967814,1.674448371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,0.902115405,0.90605098,0.860894561,0.9072119,1.147074223,0.790336132,0.753771842,0.774113774,0.536935449,0.829616547,0.781039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,0.172010645,0.071097754,0.005989762,0.027108585,0.082234927,0.175745785,0.215928152,0.234261185,0.50986433,0.517414451,0.527781725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
