Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Estimates Start After
Afghanistan,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"24,240.97","25,307.04","24,519.48","26,491.22","27,072.43","29,547.74","29,927.65","35,172.94","37,083.17","38,282.44","42,225.02","43,169.34","42,944.60","42,110.88","41,880.72","42,265.57","40,196.70","40,990.73","39,127.08","32,685.54","30,140.85",n/a,n/a,n/a,n/a,n/a,n/a,n/a,2023
Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,442.77","1,506.22","1,459.35","1,576.70","1,611.29","1,758.62","1,781.23","2,093.42","2,207.11","2,278.49","2,513.14","2,569.34","2,555.97","2,506.35","2,492.65","2,515.55","2,392.42","2,439.68","2,328.76","1,945.37","1,793.92",n/a,n/a,n/a,n/a,n/a,n/a,n/a,2023
Afghanistan,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"9,555.40","11,296.10","12,166.14","14,557.09","16,012.96","19,062.11","22,503.29","25,734.84","29,328.41","33,406.83","39,962.17","41,772.32","42,862.46","43,150.71","41,880.72","43,281.49","42,015.52","45,639.64","46,972.10","37,128.68","37,458.72",n/a,n/a,n/a,n/a,n/a,n/a,n/a,2023
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,580.253,586.204,611.268,423.993,422.229,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2023
Albania,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","116,584.54","120,786.15","121,689.95","120,446.72","120,297.85","116,082.04","120,235.60","116,915.40","113,124.00","120,916.02","106,884.08","77,421.84","72,284.50","79,708.68","87,738.26","96,138.99","105,541.55","94,601.80","103,604.50","117,702.98","126,683.82","138,483.63","145,200.81","153,802.80","162,964.38","172,852.94","184,214.30","196,717.32","213,100.25","221,737.48","231,101.54","237,622.40","241,389.08","244,254.87","249,104.37","255,374.21","264,262.01","273,542.43","284,678.59","290,805.66","281,507.21","307,104.63","322,717.94","334,285.32","345,641.91","358,527.35","372,360.36","386,651.41","401,612.60","417,229.03",2021
Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,557.56","5,757.84","5,800.93","5,741.66","5,734.57","5,533.60","5,731.60","5,573.33","5,392.59","5,764.04","5,095.14","3,690.68","3,445.78","3,799.69","4,182.46","4,582.92","5,031.14","4,509.64","4,938.80","5,610.87","6,038.99","6,601.48","6,921.68","7,331.74","7,768.47","8,239.85","8,781.45","9,377.46","10,158.43","10,570.17","11,016.55","11,327.40","11,506.96","11,643.57","11,874.74","12,173.62","12,597.30","13,039.70","13,570.55","13,862.63","13,419.38","14,639.60","15,383.88","15,935.29","16,476.66","17,090.91","17,750.32","18,431.57","19,144.77","19,889.20",2021
Albania,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,919.41","7,016.15","7,074.57","6,997.24","6,763.89","6,767.92","6,845.79","6,657.96","6,440.37","6,886.27","6,087.18","5,975.01","19,507.21","46,212.78","69,701.86","83,890.18","105,541.55","105,239.73","123,012.54","142,690.68","162,251.41","184,123.19","200,095.80","222,968.14","243,696.87","267,031.94","291,636.22","325,091.66","366,664.68","390,752.87","425,552.92","447,689.08","459,526.46","466,324.61","482,954.10","497,901.56","511,970.59","537,640.30","567,769.71","587,280.30","572,461.97","646,089.37","746,007.40","806,241.20","861,834.69","921,024.31","984,892.18","1,053,025.80","1,126,155.88","1,205,166.38",2021
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,"1,009.97",717.381,818.32,"1,032.26","1,127.64","1,283.57","1,425.13","1,846.12","2,373.58","2,673.77","2,972.75","3,595.05","4,370.56","4,114.09","4,097.83","4,439.89","4,248.91","4,415.60","4,584.92","3,953.61","4,124.41","4,525.89","5,257.71","5,345.06","5,278.99","6,259.76","6,657.64","7,956.56","8,924.32","9,474.07","10,135.06","10,827.92","11,578.58","12,389.74",2021
Algeria,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","150,958.89","150,801.86","155,461.23","158,648.77","162,319.21","163,494.92","158,874.05","153,716.75","146,416.16","149,716.75","148,972.42","143,620.35","142,430.15","136,205.54","132,024.43","134,348.57","136,983.62","136,206.50","140,911.64","143,198.13","146,003.65","148,207.24","153,914.21","161,502.55","166,310.62","172,618.28","174,930.46","177,713.72","178,213.66","176,813.21","181,669.89","183,340.79","183,903.91","184,728.43","188,260.71","190,087.08","193,247.63","192,030.52","190,874.61","188,901.43","177,676.24","181,434.17","185,031.44","189,910.84","194,458.00","197,841.02","200,288.58","202,091.72","203,906.55","205,750.48",2019
Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,218.26","10,207.63","10,523.02","10,738.78","10,987.23","11,066.82","10,754.03","10,404.94","9,910.77","10,134.18","10,083.80","9,721.53","9,640.96","9,219.62","8,936.61","9,093.93","9,272.29","9,219.69","9,538.18","9,692.95","9,882.85","10,032.01","10,418.31","10,931.95","11,257.41","11,684.37","11,840.88","12,029.27","12,063.11","11,968.32","12,297.06","12,410.16","12,448.28","12,504.09","12,743.19","12,866.81","13,080.75","12,998.36","12,920.12","12,786.56","12,026.74","12,281.11","12,524.60","12,854.88","13,162.68","13,391.67","13,557.34","13,679.40","13,802.24","13,927.05",2019
