"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11944444444445","3.13611111111111","3.15046296296296","3.11666666666667","3.14675925925926","3.13981481481482","3.1375","3.08728070175439","3.08333333333333","3.14074240740741","3.12037166666667","3.075","2.99298245614035","3.0462962962963","2.97719298245614","2.97631578947368","2.979386","2.97543852631579","2.97236847368421",
"Afghanistan","AFG","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.60833333333333","2.5","2.6","2.75","2.625","2.675","2.675","2.65","2.65","2.69167","2.71667","2.675","2.675","2.7","2.65833333333333","","1.725","1.658333",
"Africa Western and Central","AFW","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.18991228070175","3.16973684210526","3.20263157894737","3.20526315789474","3.20375","3.21791666666667","3.265","3.25625","3.25416666666667","3.2275005","3.21875016666667","3.1925","3.205","3.2025","3.21666666666667","3.23541666666667","3.245","3.2729168","3.29875005",
"Angola","AGO","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.58333333333333","2.65","2.73333333333333","2.7","2.78333333333333","2.75833333333333","2.69166666666667","2.66666666666667","2.66666666666667","","","","","","","","","","",
"Albania","ALB","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.675","3.74166666666667","","","","","","","","","","","","","","","","","",
"Andorra","AND","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92","2.89333333333333","2.915","2.88","2.9","2.895","2.87333333333333","2.88166666666667","2.89833333333333","2.90833466666667","2.82999933333333","2.80833333333333","2.58055555555556","2.72","2.58194438888889","2.56944444444444","2.563889","2.551389","2.5708335",
"United Arab Emirates","ARE","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
